benchmark,nr,möbel,facit,base,källa,derivedType,union,typeConfidence,bildröst,bildmetod,bildhåller_med,text_base,prior_token,prior_base,prior_entropi,prior_andel,regelbrott
11 första,1,IKEA Ektorp,400-900,soffa,prior,soffa,3,medel,0.5,abstained,,,ektorp,soffa,0.326,0.819,
11 första,2,IKEA Söderhamn bäddsoffa,2000-2500,soffa,image,soffa,3,låg,1.0,knn_family,,,soderhamn,soffa,0.211,0.889,
11 första,3,IKEA Vimle,1500-3000,soffa,image,soffa,3,låg,0.97,knn_family,,,vimle,soffa,0.322,0.912,
11 första,4,Mio Cordelia,1500-3000,stol,image,stol,2,låg,0.95,knn_family,,,mio,soffa,0.757,0.361,
11 första,5,IKEA Jennylund,200-700,stol,image,stol,2,låg,1.0,knn_family,,,jennylund,stol,0.128,0.973,
11 första,6,IKEA Strandmon,1000-2000,stol,image,stol,2,låg,0.95,knn_family,,,strandmon,stol,0.389,0.846,
11 första,7,Sofacompany Clara,7000-10000,soffa,text,soffa,3,medel,0.97,knn_family,True,soffa,sofacompany,soffa,0.381,0.84,
11 första,8,Sweef Valen 224,7000-12000,soffa,image,soffa,3,låg,1.0,knn_family,,,sweef,soffa,0.542,0.726,
11 första,9,Mio Santos,700-1000,bord,image,bord,6,låg,1.0,knn_family,,,mio,soffa,0.757,0.361,
11 första,10,IKEA PINNTORP,600-800,bord,image,bord,6,låg,0.98,knn_family,,,pinntorp,bord,0.323,0.941,
11 första,11,Kinnarps Capella X,1300-1600,stol,image,stol,2,låg,0.76,knn_family,,,kinnarps,stol,0.458,0.702,
benchmark 1,1,Mio Town,7000-12000,soffa,image,soffa,3,låg,0.97,knn_family,,,mio,soffa,0.757,0.361,
benchmark 1,2,Mio Saturday,3000-6000,soffa,image,soffa,3,låg,1.0,knn_family,,,mio,soffa,0.757,0.361,
benchmark 1,3,Mio Bridge,3500-7000,soffa,image,soffa,3,låg,1.0,knn_family,,,mio,soffa,0.757,0.361,
benchmark 1,4,IKEA karlstrand,500-2000,soffa,image,soffa,3,låg,0.97,knn_family,,,,,,,
benchmark 1,5,Bellus soffa,2000-6000,soffa,text,soffa,3,medel,0.97,knn_family,True,soffa,bellus,soffa,0.303,0.903,
benchmark 1,6,IKEA stocksund,800-2000,soffa,image,soffa,3,låg,1.0,knn_family,,,stocksund,soffa,0.401,0.819,
benchmark 1,7,Stalands happy,3000-6000,soffa,image,soffa,3,låg,1.0,knn_family,,,stalands,soffa,0.719,0.572,
benchmark 1,8,Kartell Victoria Ghost,1000-2000,,,,0,låg,0.62,abstained,,,kartell,stol,0.553,0.614,
benchmark 1,9,Matgrupp 5 stolar,1500-2500,bord,text,matgrupp,1,hög,0.7,knn_family,False,bord,,,,,
benchmark 1,10,Ekbord med stolar,2000-5000,bord,text,matgrupp,1,medel,0.97,knn_family,True,bord,ekbord,bord,0.162,0.953,
benchmark 2,1,IKEA norsborg,500-1000,soffa,image,soffa,3,låg,1.0,knn_family,,,norsborg,soffa,0.094,0.988,
benchmark 2,2,Bolia soffa med puff,8000-11000,fotpall,text,fotpall,1,hög,1.0,knn_family,False,fotpall,bolia,soffa,0.714,0.492,
benchmark 2,3,Mio Harper soffa,4000-6500,soffa,image,soffa,3,låg,0.97,knn_family,,,mio,soffa,0.757,0.361,
benchmark 2,4,Jysk Egedal,1000-2000,,,,0,låg,0.68,abstained,,,jysk,bord,0.859,0.277,
benchmark 2,5,Jysk Allese,4000-6500,soffa,image,soffa,3,låg,1.0,knn_family,,,jysk,bord,0.859,0.277,
benchmark 2,6,Jysk fåtölj,350-1000,stol,text,fatolj,1,hög,0.97,knn_family,True,stol,jysk,bord,0.859,0.277,
benchmark 2,7,Swedese Lamino,8500-12000,stol,image,stol,2,låg,1.0,knn_family,,,swedese,stol,0.51,0.693,
benchmark 2,8,DUX Bruno Mathsson Eva,3500-6500,stol,image,stol,2,låg,0.97,knn_family,,,bruno,stol,0.435,0.668,
benchmark 2,9,Matbord trä,3000-7000,bord,text,matbord,2,medel,0.93,knn_family,True,bord,,,,,
benchmark 2,10,Mio matgrupp,3000-5000,bord,text,matgrupp,1,hög,0.85,knn_family,True,bord,mio,soffa,0.757,0.361,
benchmark 2,11,byCrea Matgrupp,5000-15000,bord,text,matgrupp,1,hög,0.95,knn_family,True,bord,,,,,
benchmark 2,12,DUX säng 303,50000-80000,stol,prior,stol,2,medel,0.97,rejected_by_prior,,,dux,stol,0.478,0.717,
benchmark 2,13,IKEA skotterud,1000-2500,sang,image,sang,1,låg,1.0,knn_family,,,skotterud,sang,0.046,0.992,
